epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1796,1.41163,2.19659,1.4203,0.74818,0.23067,0.43209,0.24497,1.37885,2.44272,1.45997,0.000364455,0.000364455,0.000364455
2,23.676,1.34136,1.29626,1.34228,0.77687,0.54456,0.61186,0.33065,1.49972,1.39834,1.54443,0.000727514,0.000727514,0.000727514
3,34.2619,1.38167,1.24116,1.35749,0.79598,0.56374,0.67272,0.31852,1.7434,1.30691,1.76107,0.00108324,0.00108324,0.00108324
4,44.7435,1.3818,1.17672,1.33967,0.7539,0.63308,0.72008,0.36453,1.57439,1.18576,1.61909,0.001078,0.001078,0.001078
5,55.3183,1.34806,1.09519,1.3087,0.74169,0.71122,0.74741,0.40569,1.43334,1.03914,1.51742,0.001067,0.001067,0.001067
6,65.9214,1.33275,1.08279,1.32206,0.74715,0.67094,0.76777,0.41152,1.47184,1.03821,1.53572,0.00105601,0.00105601,0.00105601
7,76.6135,1.32014,1.04184,1.30071,0.78226,0.60227,0.7373,0.37845,1.48868,1.08194,1.52781,0.00104501,0.00104501,0.00104501
8,87.3706,1.30049,0.98783,1.2878,0.74903,0.73959,0.78101,0.42586,1.44754,0.96496,1.50386,0.00103401,0.00103401,0.00103401
9,98.0135,1.2962,0.96265,1.28069,0.62014,0.71988,0.70955,0.39445,1.46567,0.96955,1.52718,0.00102301,0.00102301,0.00102301
10,108.617,1.31097,0.97096,1.28362,0.70351,0.83081,0.82682,0.44632,1.43236,0.87104,1.5206,0.00101201,0.00101201,0.00101201
11,119.321,1.29049,0.93608,1.27435,0.68099,0.75535,0.77926,0.41496,1.44433,0.9111,1.51408,0.00100101,0.00100101,0.00100101
12,129.944,1.26245,0.89944,1.26374,0.70342,0.73661,0.79353,0.4319,1.43061,0.92795,1.47174,0.000990012,0.000990012,0.000990012
13,140.561,1.27186,0.88916,1.26528,0.68873,0.74404,0.78946,0.42253,1.4735,0.89297,1.52034,0.000979013,0.000979013,0.000979013
14,151.187,1.25533,0.86428,1.2522,0.77893,0.71304,0.78241,0.4368,1.41565,0.83488,1.46412,0.000968014,0.000968014,0.000968014
15,161.865,1.24646,0.86024,1.25046,0.72357,0.77385,0.81178,0.43949,1.44417,0.84675,1.49244,0.000957015,0.000957015,0.000957015
16,172.539,1.25551,0.84834,1.25236,0.76967,0.82637,0.85662,0.47421,1.38372,0.77777,1.45971,0.000946016,0.000946016,0.000946016
17,183.277,1.26178,0.86132,1.25981,0.7756,0.78713,0.82301,0.45583,1.39916,0.80279,1.46991,0.000935018,0.000935018,0.000935018
18,194.018,1.24924,0.83786,1.24424,0.78233,0.75654,0.83553,0.45199,1.43401,0.82714,1.49588,0.000924019,0.000924019,0.000924019
19,204.746,1.24515,0.81702,1.24148,0.746,0.78924,0.81492,0.45523,1.37191,0.78402,1.45184,0.00091302,0.00091302,0.00091302
20,215.411,1.23312,0.80119,1.25175,0.71274,0.75653,0.81704,0.46171,1.38259,0.75524,1.46023,0.000902021,0.000902021,0.000902021
