epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,226.165,1.21994,0.79104,1.23183,0.82033,0.69858,0.77535,0.44344,1.41161,0.80911,1.47984,0.000891022,0.000891022,0.000891022
22,236.848,1.22039,0.78855,1.23567,0.89202,0.72785,0.83291,0.43974,1.44372,0.79849,1.50639,0.000880023,0.000880023,0.000880023
23,247.624,1.20122,0.7838,1.22128,0.79571,0.82632,0.82948,0.46649,1.39394,0.77505,1.4688,0.000869024,0.000869024,0.000869024
24,258.275,1.2107,0.78614,1.22957,0.79055,0.82568,0.84794,0.47041,1.42207,0.76977,1.4858,0.000858025,0.000858025,0.000858025
25,269.042,1.1828,0.75913,1.21996,0.74635,0.8146,0.81499,0.44834,1.43187,0.79778,1.4893,0.000847026,0.000847026,0.000847026
26,279.925,1.18514,0.74399,1.21311,0.75911,0.80943,0.83559,0.46063,1.4263,0.78536,1.49513,0.000836027,0.000836027,0.000836027
27,290.654,1.17786,0.75039,1.21058,0.7989,0.79638,0.85837,0.47316,1.40911,0.7494,1.48667,0.000825029,0.000825029,0.000825029
28,301.33,1.18397,0.73718,1.21235,0.87214,0.78446,0.85316,0.46238,1.40729,0.75958,1.46606,0.00081403,0.00081403,0.00081403
29,312.045,1.18054,0.73903,1.20757,0.87393,0.71198,0.82065,0.46343,1.38309,0.73957,1.43181,0.000803031,0.000803031,0.000803031
30,322.719,1.15509,0.71727,1.20321,0.82878,0.73502,0.80564,0.44865,1.42449,0.74948,1.47864,0.000792032,0.000792032,0.000792032
31,333.464,1.16263,0.7172,1.19349,0.80604,0.78571,0.83062,0.47548,1.39598,0.74166,1.45209,0.000781033,0.000781033,0.000781033
32,344.167,1.15384,0.71772,1.20246,0.85491,0.78839,0.8462,0.48156,1.38061,0.73762,1.4397,0.000770034,0.000770034,0.000770034
33,354.976,1.1573,0.70057,1.19682,0.75155,0.77846,0.79225,0.45252,1.39346,0.72872,1.43926,0.000759035,0.000759035,0.000759035
34,365.747,1.14101,0.69825,1.19544,0.76816,0.74484,0.78773,0.45681,1.36777,0.74181,1.44664,0.000748036,0.000748036,0.000748036
35,376.513,1.14004,0.69332,1.18593,0.82229,0.80661,0.85572,0.4699,1.43558,0.74865,1.51577,0.000737037,0.000737037,0.000737037
36,387.207,1.12839,0.69313,1.19081,0.80455,0.80268,0.85576,0.46772,1.40133,0.71396,1.46779,0.000726038,0.000726038,0.000726038
37,397.958,1.12527,0.67821,1.18217,0.75852,0.79005,0.81788,0.44551,1.44014,0.73492,1.50216,0.00071504,0.00071504,0.00071504
38,408.671,1.12135,0.6724,1.16882,0.7778,0.80136,0.81985,0.46459,1.41117,0.7311,1.45622,0.000704041,0.000704041,0.000704041
39,419.437,1.10168,0.65964,1.16827,0.83538,0.81779,0.86178,0.47216,1.39108,0.73832,1.45929,0.000693042,0.000693042,0.000693042
40,430.127,1.12101,0.68037,1.18854,0.79982,0.81331,0.84703,0.48795,1.36982,0.67142,1.45418,0.000682043,0.000682043,0.000682043
41,440.939,1.10712,0.65727,1.16682,0.82349,0.7361,0.80694,0.45755,1.41429,0.71741,1.46528,0.000671044,0.000671044,0.000671044
42,451.656,1.09479,0.6447,1.15942,0.91092,0.7515,0.84485,0.46874,1.43265,0.73062,1.50953,0.000660045,0.000660045,0.000660045
43,462.453,1.09897,0.63976,1.159,0.90878,0.74887,0.83597,0.48166,1.39053,0.70111,1.46055,0.000649046,0.000649046,0.000649046
44,473.21,1.09083,0.65044,1.16003,0.78846,0.79622,0.82584,0.45915,1.37687,0.69984,1.45433,0.000638047,0.000638047,0.000638047
45,484.022,1.07125,0.62957,1.15882,0.78537,0.77247,0.81937,0.453,1.42829,0.71245,1.50053,0.000627048,0.000627048,0.000627048
46,494.78,1.08872,0.63321,1.15145,0.78641,0.79733,0.84155,0.46667,1.41807,0.68232,1.49276,0.000616049,0.000616049,0.000616049
47,505.517,1.0924,0.64231,1.16059,0.86356,0.75156,0.86041,0.48185,1.38071,0.67695,1.45673,0.000605051,0.000605051,0.000605051
48,516.314,1.06795,0.6193,1.14127,0.79,0.74472,0.80382,0.43661,1.44544,0.72698,1.51226,0.000594052,0.000594052,0.000594052
49,527.049,1.05714,0.61095,1.14134,0.89955,0.76382,0.85816,0.48155,1.42897,0.68039,1.49696,0.000583053,0.000583053,0.000583053
50,537.759,1.06154,0.62061,1.14258,0.87814,0.70984,0.81636,0.44834,1.41496,0.71213,1.48971,0.000572054,0.000572054,0.000572054
51,548.555,1.0566,0.60864,1.14481,0.79419,0.81694,0.84675,0.46173,1.46705,0.71583,1.52905,0.000561055,0.000561055,0.000561055
52,559.362,1.03974,0.59494,1.12862,0.82372,0.75269,0.81323,0.47451,1.39465,0.70756,1.47573,0.000550056,0.000550056,0.000550056
53,570.123,1.04681,0.59934,1.13795,0.83723,0.81425,0.8613,0.48847,1.38134,0.6685,1.46709,0.000539057,0.000539057,0.000539057
54,580.884,1.05388,0.60862,1.13466,0.79993,0.83444,0.84645,0.47752,1.38411,0.68315,1.46336,0.000528058,0.000528058,0.000528058
55,591.677,1.02758,0.59493,1.1244,0.83547,0.76061,0.81246,0.47015,1.39878,0.70188,1.48182,0.000517059,0.000517059,0.000517059
56,602.427,1.03163,0.5932,1.12769,0.82117,0.76489,0.81689,0.47677,1.38822,0.67129,1.46761,0.00050606,0.00050606,0.00050606
57,613.163,1.03091,0.59899,1.13019,0.87903,0.77343,0.84334,0.47579,1.38303,0.69663,1.4581,0.000495062,0.000495062,0.000495062
58,623.925,1.02073,0.588,1.11762,0.78822,0.83141,0.83748,0.47397,1.4064,0.71227,1.48103,0.000484063,0.000484063,0.000484063
59,634.652,1.01193,0.58025,1.11606,0.77301,0.81978,0.83127,0.46882,1.38895,0.68555,1.48167,0.000473064,0.000473064,0.000473064
60,645.368,1.0021,0.57959,1.1141,0.88931,0.76942,0.86144,0.49636,1.37646,0.66575,1.45501,0.000462065,0.000462065,0.000462065
61,656.165,1.01782,0.57608,1.11619,0.78443,0.81565,0.83308,0.47522,1.40817,0.6898,1.48429,0.000451066,0.000451066,0.000451066
62,666.922,1.00383,0.56766,1.11153,0.81721,0.8131,0.84763,0.48039,1.40962,0.671,1.51098,0.000440067,0.000440067,0.000440067
63,677.758,0.9907,0.56339,1.1018,0.77632,0.84808,0.84553,0.48224,1.38614,0.66619,1.49003,0.000429068,0.000429068,0.000429068
64,688.59,0.97859,0.55762,1.09599,0.89004,0.74562,0.83835,0.47383,1.41883,0.67939,1.50532,0.000418069,0.000418069,0.000418069
65,699.316,0.9837,0.55846,1.10092,0.80749,0.81695,0.85572,0.4839,1.38751,0.65204,1.48506,0.00040707,0.00040707,0.00040707
66,710.107,0.98734,0.56051,1.10196,0.77191,0.83818,0.83828,0.48027,1.39443,0.66247,1.48403,0.000396071,0.000396071,0.000396071
67,720.972,0.99706,0.55956,1.10396,0.85288,0.83174,0.85812,0.48719,1.3944,0.66188,1.496,0.000385073,0.000385073,0.000385073
68,731.78,0.96945,0.54375,1.0869,0.80248,0.80493,0.85746,0.4817,1.42353,0.68861,1.50466,0.000374074,0.000374074,0.000374074
69,742.548,0.97901,0.54559,1.09463,0.81451,0.80688,0.84916,0.47896,1.40809,0.67345,1.50631,0.000363075,0.000363075,0.000363075
70,753.342,0.97481,0.53977,1.09534,0.83699,0.79589,0.84153,0.47649,1.40643,0.68482,1.50858,0.000352076,0.000352076,0.000352076
71,764.223,0.96878,0.54991,1.09629,0.8602,0.77137,0.82843,0.47811,1.40407,0.65422,1.51192,0.000341077,0.000341077,0.000341077
72,774.998,0.9566,0.53525,1.09045,0.86049,0.75029,0.82112,0.47027,1.41929,0.70562,1.51499,0.000330078,0.000330078,0.000330078
73,785.837,0.94574,0.53892,1.08379,0.79079,0.77409,0.81025,0.47401,1.38876,0.66834,1.487,0.000319079,0.000319079,0.000319079
74,796.669,0.93772,0.52786,1.07455,0.83556,0.75386,0.83006,0.47403,1.39902,0.67349,1.51956,0.00030808,0.00030808,0.00030808
75,807.478,0.94162,0.53052,1.07791,0.77659,0.80015,0.8311,0.47244,1.42018,0.67734,1.52822,0.000297081,0.000297081,0.000297081
76,818.184,0.91372,0.51805,1.07338,0.81656,0.76054,0.80852,0.46663,1.39278,0.65408,1.49429,0.000286083,0.000286083,0.000286083
77,828.948,0.93564,0.52366,1.07526,0.84996,0.75997,0.82444,0.48229,1.40195,0.65141,1.51903,0.000275084,0.000275084,0.000275084
78,839.764,0.93037,0.52322,1.06879,0.79867,0.81948,0.83987,0.47394,1.40476,0.6534,1.51887,0.000264085,0.000264085,0.000264085
79,850.559,0.9279,0.5207,1.07328,0.81552,0.79023,0.82814,0.4799,1.39701,0.66657,1.50768,0.000253086,0.000253086,0.000253086
80,861.363,0.92712,0.5211,1.07307,0.8112,0.82355,0.84263,0.4757,1.40679,0.65761,1.5268,0.000242087,0.000242087,0.000242087
81,872.229,0.92601,0.51531,1.06402,0.79468,0.79849,0.81639,0.46763,1.39721,0.66114,1.51446,0.000231088,0.000231088,0.000231088
82,882.988,0.91121,0.50873,1.06501,0.82043,0.81619,0.84034,0.47607,1.40917,0.6696,1.53828,0.000220089,0.000220089,0.000220089
83,894.071,0.90807,0.50789,1.05483,0.91643,0.753,0.82402,0.47743,1.38275,0.64407,1.51579,0.00020909,0.00020909,0.00020909
84,904.857,0.90162,0.4989,1.06041,0.81332,0.80355,0.84593,0.48314,1.39454,0.64741,1.51392,0.000198091,0.000198091,0.000198091
85,915.447,0.90195,0.50767,1.06513,0.86371,0.75864,0.81413,0.47845,1.4163,0.65721,1.54479,0.000187092,0.000187092,0.000187092
86,926.071,0.90533,0.50294,1.05707,0.88016,0.74873,0.84222,0.48948,1.38178,0.63754,1.51021,0.000176094,0.000176094,0.000176094
87,937.173,0.89848,0.49713,1.04898,0.87871,0.76183,0.83065,0.47868,1.38948,0.63965,1.51403,0.000165095,0.000165095,0.000165095
88,947.862,0.89247,0.4973,1.05703,0.90805,0.75597,0.83321,0.48391,1.40545,0.64458,1.53387,0.000154096,0.000154096,0.000154096
89,958.584,0.88904,0.49705,1.04999,0.86041,0.76403,0.81311,0.48311,1.39977,0.65293,1.53576,0.000143097,0.000143097,0.000143097
90,969.31,0.88871,0.4889,1.04929,0.87478,0.77124,0.82201,0.48337,1.40042,0.64216,1.52877,0.000132098,0.000132098,0.000132098
91,981.249,0.86572,0.4496,1.03398,0.90103,0.75537,0.8066,0.45907,1.43015,0.66068,1.57983,0.000121099,0.000121099,0.000121099
92,991.931,0.83493,0.42668,1.02113,0.92398,0.75758,0.82406,0.47129,1.41541,0.63345,1.56407,0.0001101,0.0001101,0.0001101
93,1002.53,0.82743,0.42329,1.01739,0.86668,0.77174,0.81961,0.46976,1.41055,0.64557,1.56788,9.91012e-05,9.91012e-05,9.91012e-05
94,1013.3,0.81138,0.41447,1.00822,0.90709,0.75745,0.82152,0.47605,1.41131,0.64577,1.55763,8.81023e-05,8.81023e-05,8.81023e-05
95,1023.84,0.81273,0.41226,1.01464,0.89221,0.76515,0.82691,0.48361,1.39369,0.64486,1.53305,7.71034e-05,7.71034e-05,7.71034e-05
96,1034.36,0.80732,0.41126,1.00238,0.91672,0.76528,0.82202,0.47772,1.39615,0.64463,1.53829,6.61045e-05,6.61045e-05,6.61045e-05
97,1044.97,0.80574,0.4059,0.99915,0.92364,0.76119,0.81977,0.47261,1.40394,0.6535,1.54924,5.51056e-05,5.51056e-05,5.51056e-05
98,1055.54,0.79981,0.40535,0.99829,0.93277,0.75874,0.82834,0.48132,1.40665,0.6464,1.55537,4.41067e-05,4.41067e-05,4.41067e-05
99,1066.05,0.79044,0.40328,0.9954,0.92937,0.75896,0.82843,0.47744,1.41035,0.64462,1.55658,3.31078e-05,3.31078e-05,3.31078e-05
100,1076.59,0.79379,0.40559,0.99529,0.92091,0.76102,0.82214,0.47875,1.40581,0.64828,1.55281,2.21089e-05,2.21089e-05,2.21089e-05
